,To work (min),From work (min)
2017-07-12 00:01:24.773,37.2833333333,37.8666666667
2017-07-12 00:06:26.184,37.6833333333,37.8333333333
2017-07-12 00:11:28.195,38.0,37.5833333333
2017-07-12 00:16:29.907,37.8833333333,37.5833333333
2017-07-12 00:21:31.450,37.6833333333,37.6833333333
2017-07-12 00:26:34.214,37.3166666667,37.8333333333
2017-07-12 00:31:35.923,37.0,37.85
2017-07-12 00:36:37.662,36.9833333333,37.9
2017-07-12 00:41:39.649,36.9666666667,38.0666666667
2017-07-12 00:46:41.418,37.1333333333,38.2333333333
2017-07-12 00:51:43.122,37.25,38.2833333333
2017-07-12 00:56:44.953,37.3833333333,39.0333333333
2017-07-12 01:01:46.642,37.5,38.9166666667
2017-07-12 01:06:48.667,37.4,38.3666666667
2017-07-12 01:11:50.439,37.5,38.2333333333
2017-07-12 01:16:52.124,37.4,38.1333333333
2017-07-12 01:21:54.533,37.3833333333,38.1
2017-07-12 01:26:56.494,37.3166666667,38.0666666667
2017-07-12 01:31:58.193,37.1666666667,38.0
2017-07-12 01:37:00.236,37.0833333333,37.9
2017-07-12 01:42:02.280,37.1833333333,37.8666666667
2017-07-12 01:47:03.909,37.3666666667,37.8833333333
2017-07-12 01:52:05.595,37.3666666667,37.8666666667
2017-07-12 01:57:07.455,37.3833333333,37.8833333333
2017-07-12 02:02:09.026,37.3333333333,37.8833333333
2017-07-12 02:07:10.724,37.3,37.8666666667
2017-07-12 02:12:12.272,37.2333333333,38.0
2017-07-12 02:17:14.251,37.2833333333,38.0333333333
2017-07-12 02:22:16.123,37.1,37.9666666667
2017-07-12 02:27:17.771,37.1333333333,37.9
2017-07-12 02:32:19.331,37.2166666667,37.8833333333
2017-07-12 02:37:21.009,37.2833333333,37.8666666667
2017-07-12 02:42:22.786,37.3166666667,37.9
2017-07-12 02:47:24.482,37.1833333333,37.8833333333
2017-07-12 02:52:26.331,37.0333333333,37.8833333333
2017-07-12 02:57:27.857,36.9833333333,37.8666666667
2017-07-12 03:02:29.816,36.9666666667,37.7833333333
2017-07-12 03:07:31.632,36.8,37.7666666667
2017-07-12 03:12:33.362,36.7833333333,37.6333333333
2017-07-12 03:17:34.909,36.8333333333,37.6333333333
2017-07-12 03:22:36.511,36.75,37.6166666667
2017-07-12 03:27:38.121,36.6666666667,37.6833333333
2017-07-12 03:32:39.626,36.6166666667,37.5333333333
2017-07-12 03:37:41.152,36.4333333333,37.5166666667
2017-07-12 03:42:43.009,36.3666666667,37.4833333333
2017-07-12 03:47:44.958,35.9833333333,37.45
2017-07-12 03:52:46.829,35.6166666667,37.3
2017-07-12 03:57:48.626,35.5666666667,37.1166666667
2017-07-12 04:02:50.480,35.6333333333,37.0333333333
2017-07-12 04:07:52.525,35.5333333333,36.9833333333
2017-07-12 04:12:54.327,35.6333333333,37.05
2017-07-12 04:17:55.888,35.9,37.2
2017-07-12 04:22:57.613,35.7833333333,37.2666666667
2017-07-12 04:27:59.239,35.75,37.1666666667
2017-07-12 04:33:00.913,35.9333333333,37.1666666667
2017-07-12 04:38:02.817,36.1333333333,37.2333333333
2017-07-12 04:43:04.576,35.8833333333,37.4833333333
2017-07-12 04:48:06.160,35.8166666667,37.55
2017-07-12 04:53:07.840,35.45,37.5333333333
2017-07-12 04:58:09.898,35.5833333333,37.5833333333
2017-07-12 05:03:11.564,35.4833333333,37.7666666667
2017-07-12 05:08:13.092,35.7833333333,37.8
2017-07-12 05:13:14.815,35.3666666667,37.65
2017-07-12 05:18:16.934,35.2333333333,37.7
2017-07-12 05:23:18.512,35.4666666667,37.7333333333
2017-07-12 05:28:20.407,35.6,37.5166666667
2017-07-12 05:33:21.652,35.75,37.5833333333
2017-07-12 05:38:23.335,36.1,37.6666666667
2017-07-12 05:43:24.914,36.3833333333,37.5333333333
2017-07-12 05:48:26.723,36.6166666667,37.35
2017-07-12 05:53:28.308,36.7333333333,37.2333333333
2017-07-12 05:58:29.974,36.8166666667,37.3666666667
2017-07-12 06:03:31.786,37.2166666667,37.5
2017-07-12 06:08:33.378,37.7333333333,37.65
2017-07-12 06:13:34.977,38.1833333333,37.65
2017-07-12 06:18:36.542,39.0,37.4666666667
2017-07-12 06:23:38.141,40.0,37.4333333333
2017-07-12 06:28:39.669,40.3333333333,37.5833333333
2017-07-12 06:33:41.457,41.4,37.2333333333
2017-07-12 06:38:43.122,40.6166666667,37.0166666667
2017-07-12 06:43:44.923,40.2833333333,37.1666666667
2017-07-12 06:48:46.585,39.5,37.4
2017-07-12 06:53:48.738,39.75,37.4333333333
2017-07-12 06:58:50.624,39.7,37.3333333333
2017-07-12 07:03:52.671,38.9,37.45
2017-07-12 07:08:54.630,39.8333333333,37.6
2017-07-12 07:13:56.624,40.2833333333,37.65
2017-07-12 07:18:58.618,40.1,37.8333333333
2017-07-12 07:24:00.419,40.0166666667,37.85
2017-07-12 07:29:02.241,39.7333333333,37.7833333333
2017-07-12 07:34:04.253,39.25,37.7166666667
2017-07-12 07:39:05.998,39.35,37.9166666667
2017-07-12 07:44:08.158,39.4666666667,38.3833333333
2017-07-12 07:49:10.298,39.2,38.0333333333
2017-07-12 07:54:12.273,37.85,38.05
2017-07-12 07:59:14.356,38.2333333333,38.1666666667
2017-07-12 08:04:16.145,37.5,38.4666666667
2017-07-12 08:09:17.836,37.7166666667,38.2833333333
2017-07-12 08:14:19.643,37.1833333333,38.3666666667
2017-07-12 08:19:21.432,37.2666666667,38.3666666667
2017-07-12 08:24:23.220,37.25,38.25
2017-07-12 08:29:24.744,37.2666666667,38.1
2017-07-12 08:34:26.371,37.2833333333,38.2833333333
2017-07-12 08:39:28.295,37.8333333333,38.4333333333
2017-07-12 08:44:30.354,37.3833333333,38.25
2017-07-12 08:49:32.091,37.8,38.3166666667
2017-07-12 08:54:34.318,38.3333333333,38.6333333333
2017-07-12 08:59:36.319,37.6,38.9166666667
2017-07-12 09:04:38.071,37.7666666667,38.8
2017-07-12 09:09:39.777,37.9333333333,38.9
2017-07-12 09:14:41.607,37.9666666667,38.6166666667
2017-07-12 09:19:43.602,37.9666666667,38.6666666667
2017-07-12 09:24:45.408,38.3666666667,38.6666666667
2017-07-12 09:29:47.309,37.7333333333,38.6
2017-07-12 09:34:49.059,37.3333333333,38.6
2017-07-12 09:39:50.851,37.65,39.4666666667
2017-07-12 09:44:52.633,38.1666666667,38.7166666667
2017-07-12 09:49:54.551,38.4333333333,38.5833333333
2017-07-12 09:54:56.352,38.0833333333,38.5666666667
2017-07-12 09:59:58.233,38.1833333333,38.75
2017-07-12 10:05:00.297,37.7,38.5666666667
2017-07-12 10:10:02.087,37.4,38.85
2017-07-12 10:15:03.912,37.5333333333,38.8166666667
2017-07-12 10:20:05.695,38.2,38.6
2017-07-12 10:25:07.408,38.3,38.8
2017-07-12 10:30:09.425,38.3,38.5166666667
2017-07-12 10:35:11.869,38.2833333333,38.5666666667
2017-07-12 10:40:13.622,38.1,38.6666666667
2017-07-12 10:45:15.511,38.2833333333,38.6833333333
2017-07-12 10:50:17.981,38.7333333333,38.8833333333
