,To work (min),From work (min)
2017-07-09 21:16:10.003,36.3333333333,37.65
2017-07-09 21:21:12.982,36.9333333333,37.8333333333
2017-07-09 21:26:14.823,37.0166666667,37.7
2017-07-09 21:31:16.831,37.3666666667,38.05
2017-07-09 21:36:18.900,36.5333333333,38.3
2017-07-09 21:41:20.967,36.6666666667,38.25
2017-07-09 21:46:22.646,36.6,38.2166666667
2017-07-09 21:51:24.621,36.4333333333,38.15
2017-07-09 21:56:26.617,36.3,38.05
2017-07-09 22:01:28.426,36.3166666667,38.0166666667
2017-07-09 22:06:30.199,36.4166666667,38.0833333333
2017-07-09 22:11:32.435,36.6166666667,38.0833333333
2017-07-09 22:16:34.347,36.8166666667,37.9666666667
2017-07-09 22:21:36.391,36.5833333333,37.8833333333
2017-07-09 22:26:38.333,36.4166666667,37.9333333333
2017-07-09 22:31:40.021,36.6333333333,37.7333333333
2017-07-09 22:36:41.740,36.7666666667,37.8
2017-07-09 22:41:43.417,36.6666666667,37.8166666667
2017-07-09 22:46:45.240,36.75,37.8
2017-07-09 22:51:46.902,36.1666666667,37.8666666667
2017-07-09 22:56:48.685,35.95,37.9666666667
2017-07-09 23:01:50.423,36.2,38.0833333333
2017-07-09 23:06:52.448,36.4333333333,38.05
2017-07-09 23:11:54.223,36.2,37.9166666667
2017-07-09 23:16:55.943,36.0,37.7833333333
2017-07-09 23:21:57.656,36.1666666667,37.6666666667
2017-07-09 23:26:59.230,36.3333333333,37.7333333333
2017-07-09 23:32:01.414,36.45,37.65
2017-07-09 23:37:03.134,36.2,37.55
2017-07-09 23:42:04.909,36.2166666667,37.3333333333
2017-07-09 23:47:06.527,36.25,37.2
2017-07-09 23:52:08.384,36.3,37.0833333333
2017-07-09 23:57:10.456,36.1,37.0833333333
