,To work (min),From work (min)
2017-07-05 00:03:27.198,36.3,37.0166666667
2017-07-05 00:08:28.889,36.0333333333,36.95
2017-07-05 00:13:30.507,36.0833333333,36.9166666667
2017-07-05 00:18:31.982,35.8833333333,36.8333333333
2017-07-05 00:23:33.577,35.65,36.9333333333
2017-07-05 00:28:35.332,35.7,37.0
2017-07-05 00:33:37.023,35.7666666667,37.0166666667
2017-07-05 00:38:38.728,35.9333333333,37.1666666667
2017-07-05 00:43:40.436,36.0166666667,37.1833333333
2017-07-05 00:48:42.011,36.1666666667,37.1833333333
2017-07-05 00:53:43.600,36.5333333333,37.3
2017-07-05 00:58:45.308,36.5833333333,37.25
2017-07-05 01:03:46.824,36.55,37.2833333333
2017-07-05 01:08:48.518,36.2666666667,37.2833333333
2017-07-05 01:13:50.194,36.1833333333,37.2666666667
2017-07-05 01:18:51.720,36.0166666667,37.25
2017-07-05 01:23:53.683,36.0833333333,37.25
2017-07-05 01:28:55.258,36.1666666667,37.2833333333
2017-07-05 01:33:56.835,36.2666666667,37.3
2017-07-05 01:38:58.431,36.45,37.3833333333
2017-07-05 01:44:00.831,36.4166666667,37.5333333333
2017-07-05 01:49:02.474,36.6,37.5833333333
2017-07-05 01:54:03.999,36.4833333333,37.6333333333
2017-07-05 01:59:05.658,36.3,37.9
2017-07-05 02:04:07.316,36.6166666667,38.0166666667
2017-07-05 02:09:08.835,36.7,38.0333333333
2017-07-05 02:14:10.411,36.6333333333,38.1166666667
2017-07-05 02:19:12.063,36.6833333333,38.0666666667
2017-07-05 02:24:13.797,36.6833333333,38.1333333333
2017-07-05 02:29:15.509,36.6,37.95
2017-07-05 02:34:17.201,36.3666666667,38.0666666667
2017-07-05 02:39:18.879,36.2333333333,38.2333333333
2017-07-05 02:44:20.656,36.1333333333,38.05
2017-07-05 02:49:22.112,36.0166666667,38.0333333333
2017-07-05 02:54:23.593,35.9666666667,38.1333333333
2017-07-05 02:59:25.501,35.9833333333,38.15
2017-07-05 03:04:27.149,36.0,38.15
2017-07-05 03:09:28.639,35.95,38.1
2017-07-05 03:14:30.232,35.9833333333,38.2166666667
2017-07-05 03:19:31.931,36.0166666667,38.2166666667
2017-07-05 03:24:33.675,35.8833333333,38.25
2017-07-05 03:29:35.469,35.9,38.1666666667
2017-07-05 03:34:37.247,35.95,38.1333333333
2017-07-05 03:39:39.175,35.9,38.1333333333
2017-07-05 03:44:40.625,35.8166666667,38.1
2017-07-05 03:49:42.685,35.8333333333,38.4
2017-07-05 03:54:44.244,35.8166666667,38.35
2017-07-05 03:59:45.921,35.7666666667,39.0666666667
2017-07-05 04:04:47.555,35.9166666667,39.4
2017-07-05 04:09:49.269,35.7333333333,38.85
2017-07-05 04:14:50.922,35.5833333333,38.4333333333
2017-07-05 04:19:52.558,35.5666666667,38.4333333333
2017-07-05 04:24:54.046,35.5333333333,38.1666666667
2017-07-05 04:29:55.621,35.7333333333,38.1333333333
2017-07-05 04:34:57.679,36.0,38.1333333333
2017-07-05 04:39:59.349,36.4333333333,38.1666666667
2017-07-05 04:45:01.299,36.45,38.3
2017-07-05 04:50:03.064,36.4166666667,38.2333333333
2017-07-05 04:55:04.684,36.2833333333,38.0333333333
2017-07-05 05:00:06.301,35.95,38.25
2017-07-05 05:05:08.029,35.7333333333,37.7333333333
2017-07-05 05:10:09.616,35.7166666667,38.05
2017-07-05 05:15:11.252,35.7833333333,37.9833333333
2017-07-05 05:20:13.240,35.5166666667,37.7
2017-07-05 05:25:15.115,35.4333333333,37.6833333333
2017-07-05 05:30:17.235,35.5833333333,37.7
2017-07-05 05:35:19.470,35.3833333333,37.7666666667
2017-07-05 05:40:21.218,35.35,37.75
2017-07-05 05:45:22.927,35.8333333333,37.75
2017-07-05 05:50:24.662,36.1,37.4
2017-07-05 05:55:26.606,36.55,37.4333333333
2017-07-05 06:00:28.386,36.55,38.7
2017-07-05 06:05:30.003,36.7833333333,39.45
2017-07-05 06:10:32.420,37.2166666667,37.9666666667
2017-07-05 06:15:34.095,37.7666666667,37.7
2017-07-05 06:20:35.751,38.6,37.5
2017-07-05 06:25:37.258,38.0,37.45
2017-07-05 06:30:39.061,38.05,37.4166666667
2017-07-05 06:35:40.768,38.2833333333,37.3666666667
2017-07-05 06:40:42.467,38.0166666667,37.4166666667
2017-07-05 06:45:44.045,38.1,37.2333333333
2017-07-05 06:50:45.697,37.7166666667,37.0833333333
2017-07-05 06:55:47.222,38.3,37.2666666667
2017-07-05 07:00:48.881,37.9833333333,37.3166666667
2017-07-05 07:05:50.558,38.0,37.9333333333
2017-07-05 07:10:52.733,38.55,37.45
2017-07-05 07:15:54.875,38.8333333333,37.6333333333
2017-07-05 07:20:56.456,38.9,37.5166666667
2017-07-05 07:25:57.991,38.5333333333,37.55
2017-07-05 07:30:59.587,37.9,37.3666666667
2017-07-05 07:36:01.245,37.6333333333,37.7166666667
2017-07-05 07:41:02.952,37.1,38.0
2017-07-05 07:46:04.504,36.45,37.5666666667
2017-07-05 07:51:06.287,36.2666666667,37.1166666667
2017-07-05 07:56:07.979,36.05,37.2666666667
2017-07-05 08:01:09.714,36.7,37.3
2017-07-05 08:06:11.350,35.9833333333,37.45
2017-07-05 08:11:12.938,36.05,37.5333333333
2017-07-05 08:16:14.860,35.8333333333,37.5166666667
2017-07-05 08:21:16.570,35.7333333333,37.85
2017-07-05 08:26:18.593,35.7,37.7166666667
2017-07-05 08:31:20.353,35.8,37.9833333333
2017-07-05 08:36:22.957,36.1333333333,37.55
2017-07-05 08:41:24.809,36.45,37.6833333333
2017-07-05 08:46:26.775,36.4833333333,38.0
2017-07-05 08:51:28.551,36.3333333333,37.7833333333
2017-07-05 08:56:30.776,36.3666666667,37.65
2017-07-05 09:01:32.849,37.1166666667,38.0666666667
2017-07-05 09:06:34.668,37.6333333333,38.0333333333
2017-07-05 09:11:36.405,36.8333333333,38.0166666667
2017-07-05 09:16:38.205,37.1833333333,38.0333333333
2017-07-05 09:21:40.249,36.6,38.2
2017-07-05 09:26:42.685,36.55,38.3666666667
2017-07-05 09:31:44.681,36.6,38.65
2017-07-05 09:36:48.871,37.0666666667,38.65
2017-07-05 09:41:50.618,36.6333333333,38.7166666667
2017-07-05 09:46:52.479,36.8,38.7
2017-07-05 09:51:54.564,37.05,38.7833333333
2017-07-05 09:56:56.686,37.0666666667,38.6333333333
2017-07-05 10:01:58.442,37.0,38.5166666667
2017-07-05 10:07:00.859,36.95,38.6166666667
2017-07-05 10:12:03.045,37.05,38.6833333333
2017-07-05 10:17:04.850,37.1333333333,38.6
2017-07-05 10:22:07.065,37.8333333333,38.7
2017-07-05 10:27:08.872,37.4833333333,38.5666666667
2017-07-05 10:32:11.587,37.1333333333,38.6
2017-07-05 10:37:13.313,37.5333333333,38.95
2017-07-05 10:42:15.162,37.9833333333,38.5666666667
2017-07-05 10:47:16.923,38.3,38.5
2017-07-05 10:52:18.519,37.9166666667,38.6666666667
2017-07-05 10:57:20.166,37.1666666667,38.8
2017-07-05 11:02:22.012,37.5,38.95
2017-07-05 11:07:23.756,37.5,38.9
2017-07-05 11:12:25.583,38.4333333333,38.8833333333
2017-07-05 11:17:27.324,38.0,38.9833333333
2017-07-05 11:22:29.541,38.4166666667,39.0
2017-07-05 11:27:31.803,37.9833333333,38.6666666667
2017-07-05 11:32:34.064,38.2333333333,38.7
