,To work (min),From work (min)
2017-07-04 11:03:35.929,36.5833333333,37.8666666667
2017-07-04 11:08:38.085,36.6333333333,37.7833333333
2017-07-04 11:13:40.104,36.9833333333,38.0833333333
2017-07-04 11:18:42.166,36.9,38.05
2017-07-04 11:23:44.117,36.6666666667,37.9833333333
2017-07-04 11:28:46.139,37.0,37.95
2017-07-04 11:33:48.124,37.55,37.9833333333
2017-07-04 11:38:50.185,37.2166666667,37.9833333333
2017-07-04 11:43:52.489,36.9166666667,37.9666666667
2017-07-04 11:48:54.333,36.5833333333,37.9833333333
2017-07-04 11:53:56.522,37.2166666667,37.8
2017-07-04 11:58:58.451,36.9666666667,37.7833333333
2017-07-04 12:04:00.349,37.1833333333,37.8666666667
2017-07-04 12:09:02.206,37.3,38.0166666667
2017-07-04 12:14:04.013,37.3,37.9833333333
2017-07-04 12:19:05.803,36.9333333333,37.8333333333
2017-07-04 12:24:07.609,36.6,37.8166666667
2017-07-04 12:29:09.426,36.35,38.0833333333
2017-07-04 12:34:11.490,36.5166666667,38.0
2017-07-04 12:39:13.744,36.7,38.0166666667
2017-07-04 12:44:15.637,36.7333333333,38.0166666667
2017-07-04 12:49:17.508,36.6666666667,38.0
2017-07-04 12:54:19.190,36.2666666667,37.6333333333
2017-07-04 12:59:21.089,36.4333333333,37.7166666667
2017-07-04 13:04:23.054,36.3166666667,37.85
2017-07-04 13:09:24.904,36.7333333333,38.1666666667
2017-07-04 13:14:27.097,36.65,37.95
2017-07-04 13:19:29.014,36.6833333333,37.7666666667
2017-07-04 13:24:30.596,36.8666666667,37.9166666667
2017-07-04 13:29:32.281,36.6666666667,38.0166666667
2017-07-04 13:34:34.050,36.6666666667,38.0666666667
2017-07-04 13:39:36.194,36.7166666667,38.0166666667
2017-07-04 13:44:38.208,36.8333333333,38.0166666667
2017-07-04 13:49:40.090,36.9666666667,37.8333333333
2017-07-04 13:54:42.032,36.9,38.3833333333
2017-07-04 13:59:43.999,37.25,37.8833333333
2017-07-04 14:04:45.834,37.15,37.8
2017-07-04 14:09:47.635,37.1666666667,37.7833333333
2017-07-04 14:14:49.376,37.2,37.95
2017-07-04 14:19:51.422,37.1,38.0833333333
2017-07-04 14:24:53.243,36.6833333333,38.0
2017-07-04 14:29:55.006,37.0166666667,38.0166666667
2017-07-04 14:34:56.885,37.7,38.1166666667
2017-07-04 14:39:58.624,37.0666666667,38.0833333333
2017-07-04 14:45:00.710,36.7166666667,38.3333333333
2017-07-04 14:50:02.413,36.5833333333,38.25
2017-07-04 14:55:04.699,36.45,38.1166666667
2017-07-04 15:00:06.656,36.2833333333,38.15
2017-07-04 15:05:08.537,36.35,37.8333333333
2017-07-04 15:10:10.250,37.3,37.8833333333
2017-07-04 15:15:12.061,36.4666666667,37.9666666667
2017-07-04 15:20:14.043,36.6333333333,38.25
2017-07-04 15:25:15.904,36.5666666667,38.2333333333
2017-07-04 15:30:17.719,36.6333333333,38.0166666667
2017-07-04 15:35:19.565,36.45,38.35
2017-07-04 15:40:21.521,36.3166666667,38.4333333333
2017-07-04 15:45:23.380,37.05,38.15
2017-07-04 15:50:25.366,36.4333333333,38.1833333333
2017-07-04 15:55:27.535,36.6,38.3333333333
2017-07-04 16:00:29.613,36.65,38.35
2017-07-04 16:05:31.607,36.9833333333,38.8
2017-07-04 16:10:33.272,36.75,38.9166666667
2017-07-04 16:15:35.027,36.6333333333,38.95
2017-07-04 16:20:36.976,36.4166666667,39.3666666667
2017-07-04 16:25:39.016,36.8833333333,39.7666666667
2017-07-04 16:30:40.739,36.35,39.4666666667
2017-07-04 16:35:42.776,36.3166666667,39.5
2017-07-04 16:40:44.586,36.4666666667,39.7333333333
2017-07-04 16:45:46.375,36.3666666667,39.6
2017-07-04 16:50:48.079,36.1,39.8
2017-07-04 16:55:49.915,36.0,40.1166666667
2017-07-04 17:00:51.771,35.9166666667,39.75
2017-07-04 17:05:53.854,35.95,39.4333333333
2017-07-04 17:10:55.512,36.0666666667,39.2666666667
2017-07-04 17:15:57.240,36.0833333333,39.2666666667
2017-07-04 17:20:58.869,36.1166666667,38.6666666667
2017-07-04 17:26:00.658,36.6166666667,38.6
2017-07-04 17:31:02.365,35.8833333333,38.45
2017-07-04 17:36:04.708,35.9833333333,38.1666666667
2017-07-04 17:41:06.897,35.8166666667,37.7833333333
2017-07-04 17:46:08.631,36.1,37.8666666667
2017-07-04 17:51:10.260,36.6166666667,37.6333333333
2017-07-04 17:56:12.010,36.45,37.4833333333
2017-07-04 18:01:13.781,36.15,37.4333333333
2017-07-04 18:06:15.867,36.25,37.45
2017-07-04 18:11:18.045,35.9666666667,37.3166666667
2017-07-04 18:16:19.741,36.05,37.2333333333
2017-07-04 18:21:21.558,36.2833333333,37.45
2017-07-04 18:26:23.351,36.6833333333,37.5333333333
2017-07-04 18:31:25.054,36.7166666667,37.4833333333
2017-07-04 18:36:26.737,36.1,37.55
2017-07-04 18:41:28.622,36.3166666667,37.2666666667
