,To work (min),From work (min)
2017-07-15 00:03:45.750,36.2166666667,37.1833333333
2017-07-15 00:08:47.719,36.2666666667,37.2666666667
2017-07-15 00:13:49.765,36.1833333333,37.3
2017-07-15 00:18:51.635,35.7833333333,37.15
2017-07-15 00:23:53.416,35.65,36.95
2017-07-15 00:28:55.130,35.4833333333,36.9
2017-07-15 00:33:56.471,35.8166666667,36.8666666667
2017-07-15 00:38:58.320,35.9333333333,37.0666666667
2017-07-15 00:44:00.469,36.1666666667,37.2666666667
2017-07-15 00:49:01.816,36.4333333333,37.3833333333
2017-07-15 00:54:03.653,36.2666666667,37.6
2017-07-15 00:59:04.923,36.2333333333,37.4833333333
2017-07-15 01:04:06.099,36.2666666667,37.5166666667
2017-07-15 01:09:07.694,36.4,37.6333333333
2017-07-15 01:14:09.143,36.5166666667,37.75
2017-07-15 01:19:10.875,36.55,37.6166666667
2017-07-15 01:24:12.576,36.3333333333,37.5
2017-07-15 01:29:14.544,36.3,37.5166666667
2017-07-15 01:34:16.170,36.1833333333,37.5
2017-07-15 01:39:17.757,35.9833333333,37.4166666667
2017-07-15 01:44:19.377,36.1,37.2833333333
2017-07-15 01:49:20.661,36.2,37.2166666667
2017-07-15 01:54:22.242,36.15,37.05
2017-07-15 01:59:23.964,35.9166666667,36.9666666667
2017-07-15 02:04:25.253,35.8166666667,37.0
2017-07-15 02:09:27.290,35.8666666667,36.9666666667
2017-07-15 02:14:29.122,35.8166666667,37.2333333333
2017-07-15 02:19:30.543,35.75,37.4
2017-07-15 02:24:32.306,35.7833333333,37.5
2017-07-15 02:29:33.416,35.6833333333,37.5666666667
2017-07-15 02:34:34.583,35.4166666667,37.5166666667
2017-07-15 02:39:36.301,35.5166666667,37.55
2017-07-15 02:44:37.953,35.5166666667,37.6833333333
2017-07-15 02:49:39.672,35.65,37.6666666667
2017-07-15 02:54:40.981,35.6666666667,37.6833333333
2017-07-15 02:59:42.702,35.65,37.65
2017-07-15 03:04:44.393,35.65,37.65
2017-07-15 03:09:46.128,35.7,37.75
2017-07-15 03:14:48.057,35.6666666667,37.55
2017-07-15 03:19:49.901,35.7166666667,37.7833333333
2017-07-15 03:24:51.708,35.7333333333,37.8333333333
2017-07-15 03:29:53.112,35.8166666667,37.5333333333
2017-07-15 03:34:54.796,35.8833333333,37.7
2017-07-15 03:39:56.425,35.95,37.65
2017-07-15 03:44:58.071,35.9833333333,37.6666666667
2017-07-15 03:49:59.613,36.2,37.65
2017-07-15 03:55:01.162,36.1333333333,37.3666666667
