,To work (min),From work (min)
2017-07-06 00:02:34.148,36.9,37.4
2017-07-06 00:07:35.839,36.6,37.3166666667
2017-07-06 00:12:37.457,36.4166666667,37.45
2017-07-06 00:17:39.168,36.1666666667,37.45
2017-07-06 00:22:40.924,36.0166666667,37.4666666667
2017-07-06 00:27:42.863,35.85,37.5166666667
2017-07-06 00:32:44.941,36.1,37.6166666667
2017-07-06 00:37:46.637,35.9333333333,37.6666666667
2017-07-06 00:42:48.322,36.0166666667,37.7666666667
2017-07-06 00:47:50.129,36.0666666667,37.75
2017-07-06 00:52:51.722,36.0166666667,37.7333333333
2017-07-06 00:57:53.393,36.0333333333,37.5666666667
2017-07-06 01:02:54.990,35.9833333333,37.6166666667
2017-07-06 01:07:56.854,35.9,37.5833333333
2017-07-06 01:12:58.557,35.8333333333,37.6666666667
2017-07-06 01:18:00.157,35.8166666667,37.6666666667
2017-07-06 01:23:01.984,36.0,37.5833333333
2017-07-06 01:28:03.758,36.0666666667,37.35
2017-07-06 01:33:05.824,36.05,37.3
2017-07-06 01:38:07.533,36.4166666667,37.3
2017-07-06 01:43:09.468,36.3,37.4166666667
2017-07-06 01:48:11.137,36.4333333333,37.3833333333
2017-07-06 01:53:12.678,36.4333333333,37.3666666667
2017-07-06 01:58:14.333,36.55,37.3
2017-07-06 02:03:15.957,36.9,37.3333333333
2017-07-06 02:08:17.585,36.85,37.4166666667
2017-07-06 02:13:19.290,36.6333333333,37.4166666667
2017-07-06 02:18:20.996,36.7,37.5166666667
2017-07-06 02:23:22.652,36.75,37.6333333333
2017-07-06 02:28:24.347,36.85,38.1
2017-07-06 02:33:26.028,36.8,37.85
2017-07-06 02:38:27.900,36.8,37.8833333333
2017-07-06 02:43:29.618,36.8166666667,38.1833333333
2017-07-06 02:48:31.407,36.9,38.1833333333
2017-07-06 02:53:33.058,36.95,38.1833333333
2017-07-06 02:58:34.860,37.0,38.55
2017-07-06 03:03:36.463,36.9333333333,38.5166666667
2017-07-06 03:08:38.167,36.8666666667,38.55
2017-07-06 03:13:39.793,36.7833333333,38.6
2017-07-06 03:18:41.896,36.7833333333,38.6
2017-07-06 03:23:43.589,36.6666666667,38.6666666667
2017-07-06 03:28:45.344,36.3333333333,38.7333333333
2017-07-06 03:33:47.131,36.45,38.85
2017-07-06 03:38:49.000,36.1833333333,38.9
2017-07-06 03:43:50.723,36.05,38.8666666667
2017-07-06 03:48:52.462,36.15,38.9
2017-07-06 03:53:54.236,36.2,38.9666666667
2017-07-06 03:58:55.976,36.3,38.9666666667
2017-07-06 04:03:57.692,36.3,39.05
2017-07-06 04:08:59.343,36.2666666667,39.05
2017-07-06 04:14:00.948,36.3833333333,38.9333333333
2017-07-06 04:19:02.818,36.1333333333,39.0
2017-07-06 04:24:04.754,36.05,38.9
2017-07-06 04:29:06.609,35.8333333333,38.8
2017-07-06 04:34:08.286,35.75,38.9666666667
2017-07-06 04:39:10.142,35.6166666667,39.0333333333
2017-07-06 04:44:11.869,35.5833333333,38.7833333333
2017-07-06 04:49:13.548,35.6166666667,38.3333333333
2017-07-06 04:54:15.276,35.6,38.3166666667
2017-07-06 04:59:17.118,35.7333333333,38.0833333333
2017-07-06 05:04:18.921,35.8166666667,37.9666666667
2017-07-06 05:09:20.790,35.5833333333,37.6
2017-07-06 05:14:22.366,35.6166666667,37.4833333333
2017-07-06 05:19:24.075,35.7833333333,37.1833333333
2017-07-06 05:24:25.958,36.1,37.4333333333
2017-07-06 05:29:27.636,36.7333333333,37.3166666667
2017-07-06 05:34:29.301,38.2,37.2333333333
2017-07-06 05:39:31.148,39.6833333333,37.2666666667
2017-07-06 05:44:32.881,40.9,37.5666666667
2017-07-06 05:49:34.559,42.3833333333,37.6166666667
2017-07-06 05:54:36.190,42.85,37.3
2017-07-06 05:59:37.751,41.25,37.3833333333
2017-07-06 06:04:39.396,40.1,37.1333333333
2017-07-06 06:09:41.098,39.2,37.2666666667
2017-07-06 06:14:43.114,38.9166666667,37.4
2017-07-06 06:19:44.763,39.4333333333,37.2666666667
2017-07-06 06:24:46.288,38.35,37.4
2017-07-06 06:29:48.117,38.0833333333,37.3166666667
2017-07-06 06:34:49.810,38.45,37.35
2017-07-06 06:39:51.504,38.3833333333,37.3166666667
2017-07-06 06:44:53.136,38.0333333333,37.15
2017-07-06 06:49:54.727,38.3,37.1
2017-07-06 06:54:56.484,38.5166666667,37.3333333333
2017-07-06 06:59:58.252,39.1166666667,37.5333333333
2017-07-06 07:04:59.802,39.0666666667,37.5
