,To work (min),From work (min)
2017-07-10 00:02:12.379,36.2333333333,37.3333333333
2017-07-10 00:07:13.904,36.0,37.3833333333
2017-07-10 00:12:15.385,36.0,37.6333333333
2017-07-10 00:17:16.962,36.0333333333,37.5833333333
2017-07-10 00:22:18.745,36.2,37.7
2017-07-10 00:27:20.837,35.9166666667,37.7666666667
2017-07-10 00:32:22.955,35.8666666667,37.8166666667
2017-07-10 00:37:24.593,35.85,37.8666666667
2017-07-10 00:42:26.203,35.8833333333,37.8
2017-07-10 00:47:28.155,36.0166666667,37.7
2017-07-10 00:52:29.991,35.9666666667,37.6333333333
2017-07-10 00:57:31.625,35.9333333333,37.6166666667
2017-07-10 01:02:33.226,36.0,37.4833333333
2017-07-10 01:07:34.847,36.15,37.3333333333
2017-07-10 01:12:36.353,36.3,37.4333333333
2017-07-10 01:17:38.237,36.3,37.2333333333
2017-07-10 01:22:39.790,36.1833333333,37.1833333333
2017-07-10 01:27:41.496,36.25,37.2
2017-07-10 01:32:43.298,36.4166666667,37.1833333333
2017-07-10 01:37:45.120,36.5666666667,37.15
2017-07-10 01:42:46.875,36.65,37.1666666667
2017-07-10 01:47:48.558,36.65,37.15
2017-07-10 01:52:49.846,36.7166666667,37.35
2017-07-10 01:57:51.245,36.5666666667,37.3666666667
2017-07-10 02:02:52.922,36.65,37.4166666667
2017-07-10 02:07:54.492,36.85,37.5
2017-07-10 02:12:56.220,36.8,37.4833333333
2017-07-10 02:17:57.790,36.6833333333,37.4833333333
2017-07-10 02:22:59.391,36.6666666667,37.5
2017-07-10 02:28:01.273,36.6166666667,37.5166666667
2017-07-10 02:33:03.018,36.7166666667,37.7333333333
2017-07-10 02:38:04.860,36.65,37.9833333333
2017-07-10 02:43:06.821,36.5166666667,37.9833333333
2017-07-10 02:48:08.715,36.75,37.9166666667
2017-07-10 02:53:10.399,36.8333333333,38.2333333333
2017-07-10 02:58:12.327,36.8333333333,38.45
2017-07-10 03:03:14.017,36.8833333333,38.4
2017-07-10 03:08:16.420,36.8666666667,38.4
2017-07-10 03:13:18.108,36.8,38.1666666667
2017-07-10 03:18:19.887,36.9833333333,38.0333333333
2017-07-10 03:23:21.595,37.0166666667,37.85
2017-07-10 03:28:23.652,36.95,37.8666666667
2017-07-10 03:33:25.267,37.0666666667,37.8166666667
2017-07-10 03:38:26.988,36.8666666667,37.8166666667
2017-07-10 03:43:28.828,36.85,38.0
2017-07-10 03:48:30.745,36.6166666667,38.0333333333
2017-07-10 03:53:32.635,36.6,38.05
2017-07-10 03:58:34.345,36.5166666667,37.8
2017-07-10 04:03:36.323,36.4333333333,37.8
2017-07-10 04:08:38.157,36.4833333333,37.8333333333
2017-07-10 04:13:39.835,36.3,37.8166666667
2017-07-10 04:18:41.722,36.0333333333,37.7166666667
2017-07-10 04:23:43.505,35.9666666667,37.7833333333
2017-07-10 04:28:45.172,36.0,37.85
2017-07-10 04:33:47.051,36.0333333333,37.8
2017-07-10 04:38:48.676,35.9166666667,37.75
2017-07-10 04:43:50.419,35.9166666667,37.8333333333
2017-07-10 04:48:52.089,35.7666666667,37.9
2017-07-10 04:53:54.010,35.7333333333,37.7833333333
2017-07-10 04:58:55.787,35.8,38.05
2017-07-10 05:03:57.509,35.55,38.2
2017-07-10 05:08:59.268,35.5166666667,38.2833333333
2017-07-10 05:14:00.795,35.6166666667,38.2833333333
