,To work (min),From work (min)
2017-07-14 00:04:34.664,35.95,37.2333333333
2017-07-14 00:09:36.156,35.9,37.25
2017-07-14 00:14:37.855,35.9166666667,37.1333333333
2017-07-14 00:19:39.830,35.65,37.1166666667
2017-07-14 00:24:41.357,35.6666666667,37.2333333333
2017-07-14 00:29:43.139,35.5166666667,37.2333333333
2017-07-14 00:34:45.089,35.6166666667,37.2833333333
2017-07-14 00:39:47.010,35.6833333333,37.15
2017-07-14 00:44:48.217,35.6833333333,36.9333333333
2017-07-14 00:49:49.557,35.5666666667,36.8
2017-07-14 00:54:51.100,35.5166666667,36.7166666667
2017-07-14 00:59:52.806,35.65,36.6
2017-07-14 01:04:54.008,35.7666666667,36.55
2017-07-14 01:09:55.388,35.9166666667,36.6
2017-07-14 01:14:57.168,35.8833333333,36.7
2017-07-14 01:19:58.580,35.8833333333,36.95
2017-07-14 01:25:00.512,36.0666666667,37.0666666667
2017-07-14 01:30:01.786,36.1166666667,37.25
2017-07-14 01:35:02.963,36.1333333333,37.4166666667
2017-07-14 01:40:04.914,36.25,37.75
2017-07-14 01:45:06.418,36.2166666667,37.95
2017-07-14 01:50:08.069,36.2666666667,38.1
2017-07-14 01:55:10.103,36.3166666667,38.1
2017-07-14 02:00:11.303,36.3666666667,38.1
2017-07-14 02:05:13.090,36.5,38.0833333333
2017-07-14 02:10:15.001,36.5,38.0666666667
2017-07-14 02:15:16.794,36.3833333333,38.0
2017-07-14 02:20:18.904,36.2166666667,37.9333333333
2017-07-14 02:25:20.516,36.15,37.8833333333
2017-07-14 02:30:22.150,36.1333333333,37.8166666667
2017-07-14 02:35:23.322,35.7666666667,37.8666666667
2017-07-14 02:40:24.626,35.7166666667,37.8833333333
2017-07-14 02:45:26.584,35.65,37.9666666667
2017-07-14 02:50:28.301,35.7166666667,37.9666666667
2017-07-14 02:55:30.135,35.6833333333,37.9666666667
2017-07-14 03:00:31.462,35.7,38.1
2017-07-14 03:05:33.139,36.1,38.1
2017-07-14 03:10:34.281,36.55,38.1
2017-07-14 03:15:36.344,36.5166666667,38.0166666667
2017-07-14 03:20:38.297,36.55,38.0666666667
2017-07-14 03:25:39.990,36.6333333333,38.1
2017-07-14 03:30:42.023,36.4666666667,38.0166666667
2017-07-14 03:35:43.936,36.5666666667,37.9666666667
2017-07-14 03:40:45.304,36.35,37.6833333333
2017-07-14 03:45:47.002,36.2666666667,37.6333333333
2017-07-14 03:50:48.818,36.2833333333,37.5333333333
2017-07-14 03:55:50.249,36.0166666667,37.5833333333
2017-07-14 04:00:51.953,35.9666666667,37.65
2017-07-14 04:05:53.379,36.2166666667,37.9
2017-07-14 04:10:55.111,36.2166666667,37.8333333333
2017-07-14 04:15:56.936,36.1666666667,37.9333333333
2017-07-14 04:20:58.197,36.2,37.8833333333
2017-07-14 04:25:59.814,36.2,37.75
2017-07-14 04:31:01.165,36.2,37.6833333333
2017-07-14 04:36:02.881,36.45,37.6833333333
2017-07-14 04:41:04.622,36.5166666667,37.7
2017-07-14 04:46:05.954,36.1833333333,37.5166666667
2017-07-14 04:51:08.047,36.0333333333,37.4833333333
2017-07-14 04:56:09.366,35.7833333333,37.4333333333
2017-07-14 05:01:10.718,35.8333333333,37.3666666667
2017-07-14 05:06:12.454,35.8666666667,37.45
2017-07-14 05:11:13.992,35.65,37.5166666667
