,To work (min),From work (min)
2017-07-13 00:00:42.531,36.9833333333,36.8333333333
2017-07-13 00:05:44.158,36.9333333333,36.7833333333
2017-07-13 00:10:46.004,36.5,36.7833333333
2017-07-13 00:15:47.846,36.45,36.7666666667
2017-07-13 00:20:49.814,36.8333333333,36.7
2017-07-13 00:25:51.712,36.9,36.8833333333
2017-07-13 00:30:53.536,36.6666666667,37.15
2017-07-13 00:35:55.181,36.25,37.1833333333
2017-07-13 00:40:56.934,36.15,37.2
2017-07-13 00:45:59.103,36.1666666667,37.2333333333
2017-07-13 00:51:01.105,36.2166666667,37.25
2017-07-13 00:56:03.391,36.15,37.1166666667
2017-07-13 01:01:05.287,36.3166666667,37.0166666667
2017-07-13 01:06:07.472,36.3166666667,37.0833333333
2017-07-13 01:11:09.258,36.2,37.1166666667
2017-07-13 01:16:11.000,36.2166666667,37.1333333333
2017-07-13 01:21:12.737,36.3,37.3666666667
2017-07-13 01:26:14.624,36.25,37.2333333333
2017-07-13 01:31:16.473,36.3666666667,37.35
2017-07-13 01:36:18.337,36.3,37.4333333333
2017-07-13 01:41:20.138,36.15,37.4166666667
2017-07-13 01:46:21.811,36.1833333333,37.4333333333
2017-07-13 01:51:23.404,36.2333333333,37.3833333333
2017-07-13 01:56:24.940,36.1333333333,37.3
2017-07-13 02:01:26.713,36.1,37.25
2017-07-13 02:06:28.993,36.1,37.1833333333
2017-07-13 02:11:30.707,35.9,37.0666666667
2017-07-13 02:16:32.435,35.85,37.0833333333
2017-07-13 02:21:34.200,36.1166666667,37.0333333333
2017-07-13 02:26:36.205,36.1333333333,37.2333333333
2017-07-13 02:31:37.753,36.25,37.3166666667
2017-07-13 02:36:39.324,36.3166666667,37.6166666667
2017-07-13 02:41:40.981,36.3,37.6666666667
2017-07-13 02:46:42.618,36.3666666667,37.65
2017-07-13 02:51:44.200,36.35,37.7166666667
2017-07-13 02:56:45.926,36.4333333333,37.7
2017-07-13 03:01:47.590,36.2833333333,37.5666666667
2017-07-13 03:06:49.138,36.1666666667,37.5333333333
2017-07-13 03:11:50.732,36.2333333333,37.6
2017-07-13 03:16:52.326,36.2,37.5166666667
2017-07-13 03:21:53.838,36.2333333333,37.5
2017-07-13 03:26:55.541,36.1166666667,37.3166666667
2017-07-13 03:31:57.150,36.05,37.2166666667
2017-07-13 03:36:58.793,35.9166666667,37.1333333333
2017-07-13 03:42:00.552,35.9,37.1333333333
2017-07-13 03:47:02.273,35.8,37.1166666667
2017-07-13 03:52:04.154,35.8333333333,36.9666666667
