,To work (min),From work (min)
2017-07-11 00:01:41.261,36.2833333333,37.95
2017-07-11 00:06:42.895,36.3666666667,37.95
2017-07-11 00:11:45.112,36.3666666667,38.0166666667
2017-07-11 00:16:46.710,36.5,38.0
2017-07-11 00:21:48.546,36.5666666667,38.15
2017-07-11 00:26:50.189,36.4,38.2166666667
2017-07-11 00:31:52.022,36.2666666667,38.2666666667
2017-07-11 00:36:53.706,36.1666666667,37.95
2017-07-11 00:41:55.602,36.15,37.7
2017-07-11 00:46:57.328,36.1833333333,37.6333333333
2017-07-11 00:51:58.892,36.2,37.5666666667
2017-07-11 00:57:00.635,36.2,37.7166666667
2017-07-11 01:02:02.406,36.2333333333,37.75
2017-07-11 01:07:04.041,36.2166666667,37.8166666667
2017-07-11 01:12:05.635,36.1666666667,37.85
2017-07-11 01:17:07.416,36.1166666667,37.8
2017-07-11 01:22:09.243,36.1166666667,37.7666666667
2017-07-11 01:27:10.817,35.9,37.7
2017-07-11 01:32:12.386,35.8166666667,37.6666666667
2017-07-11 01:37:14.132,35.8166666667,37.7
2017-07-11 01:42:16.047,35.7833333333,37.8166666667
2017-07-11 01:47:17.733,35.85,37.85
2017-07-11 01:52:19.321,35.8333333333,37.9333333333
2017-07-11 01:57:20.864,35.9,38.0166666667
2017-07-11 02:02:22.566,35.8333333333,38.0
2017-07-11 02:07:24.175,36.1166666667,38.1
2017-07-11 02:12:25.988,35.9333333333,38.1166666667
2017-07-11 02:17:27.530,35.9166666667,38.1333333333
2017-07-11 02:22:29.375,35.8833333333,38.5333333333
2017-07-11 02:27:31.112,35.9833333333,38.2
2017-07-11 02:32:32.746,36.0833333333,38.2333333333
2017-07-11 02:37:34.379,36.2833333333,38.1833333333
2017-07-11 02:42:35.984,36.1666666667,37.85
2017-07-11 02:47:37.591,36.2333333333,37.75
2017-07-11 02:52:39.238,36.1833333333,37.6
2017-07-11 02:57:41.050,36.15,37.6833333333
2017-07-11 03:02:42.890,36.35,37.7
2017-07-11 03:07:44.893,36.35,37.6333333333
2017-07-11 03:12:46.800,36.3166666667,37.5
2017-07-11 03:17:48.707,36.2333333333,37.4833333333
2017-07-11 03:22:50.510,36.0166666667,37.3666666667
2017-07-11 03:27:52.604,36.05,37.25
2017-07-11 03:32:54.279,35.9833333333,37.2666666667
2017-07-11 03:37:55.975,35.9,37.1166666667
2017-07-11 03:42:57.612,35.8666666667,37.1166666667
2017-07-11 03:47:59.361,35.75,37.0666666667
2017-07-11 03:53:01.066,35.75,37.2
2017-07-11 03:58:02.707,35.9166666667,37.2166666667
2017-07-11 04:03:04.314,35.8,37.2833333333
2017-07-11 04:08:06.142,35.85,37.45
2017-07-11 04:13:07.771,35.9333333333,37.5833333333
2017-07-11 04:18:09.357,35.9833333333,37.65
2017-07-11 04:23:10.952,35.8666666667,38.2166666667
2017-07-11 04:28:12.512,35.7833333333,38.0833333333
2017-07-11 04:33:14.240,35.8,38.0166666667
2017-07-11 04:38:16.115,35.7833333333,38.0333333333
2017-07-11 04:43:17.708,35.8166666667,38.2666666667
2017-07-11 04:48:19.361,35.9,38.2833333333
2017-07-11 04:53:21.062,35.9,38.1
2017-07-11 04:58:22.957,35.8,38.15
2017-07-11 05:03:24.584,35.6333333333,38.2166666667
2017-07-11 05:08:26.217,35.7166666667,38.4333333333
2017-07-11 05:13:27.815,35.6166666667,38.3833333333
2017-07-11 05:18:29.464,35.6,38.3666666667
2017-07-11 05:23:31.274,35.6166666667,38.0166666667
2017-07-11 05:28:33.056,35.6666666667,37.9833333333
2017-07-11 05:33:34.721,35.8833333333,37.9
